sep=,
crm_guid,crm_code,crm_name,crm_doelgroep,crm_locatietype
e7adb9d1-0911-e511-80d0-005056956c1a,ROCMN,ROC Midden Nederland,MBO,Hoofdlocatie
7fb41a46-0a11-e511-80d0-005056956c1a,ROCVA,ROC van Amsterdam-Flevoland,MBO,Hoofdlocatie
dfe40c49-035c-e711-80e7-005056956c1a,ROOIPANNEN,De Rooi Pannen,MBO,Hoofdlocatie
a019b9d7-0911-e511-80d0-005056956c1a,ROOSEVELT,University College Roosevelt,Overig hoger onderwijs,Hoofdlocatie
e33ac01a-0a11-e511-80d0-005056956c1a,RU,Radboud Universiteit,Universiteiten,Hoofdlocatie
ccadb9d1-0911-e511-80d0-005056956c1a,RUG,Rijksuniversiteit Groningen,Universiteiten,Hoofdlocatie
9a82b820-0a11-e511-80d0-005056956c1a,SAXION,Saxion,HBO,Hoofdlocatie
805b2684-8c68-e711-80e8-005056956c1a,SCALDA,Scalda,MBO,Hoofdlocatie
145fd0dd-0911-e511-80d0-005056956c1a,SCP,Sociaal en Cultureel Planbureau,Onderzoeksinstellingen,Hoofdlocatie
d7caa228-0c11-e511-80d0-005056956c1a,SIDN,SIDN,OVERIG,Hoofdlocatie
61e9e76b-0c11-e511-80d0-005056956c1a,SINTLUCAS,SintLucas,MBO,Hoofdlocatie
55664529-9156-ed11-bba2-000d3abcae8d,SOMA,SOMA College,MBO,Hoofdlocatie
3baf70f9-0c11-e511-80d0-005056956c1a,SOMT,Stichting Opleidingen Musculoskeletale Therapie,Overig hoger onderwijs,Hoofdlocatie
c86d3538-65f5-e911-90f2-0050569571ea,SORG,RBO scholen,MBO,Hoofdlocatie
6081d7b9-d76e-e811-80f7-005056956c1a,SRON,SRON Space Research Organisation Netherlands,Onderzoeksinstellingen,Hoofdlocatie
1725fee0-0c11-e511-80d0-005056956c1a,STCMBO,STC Group,MBO,Hoofdlocatie
987ed7b9-d76e-e811-80f7-005056956c1a,STSANS,Stichting SaNS,Aan hoger onderwijs gelieerde instellingen,Hoofdlocatie
ec9d6d75-0d11-e511-80d0-005056956c1a,STUDIELINK,Stichting Studielink,Aan hoger onderwijs gelieerde instellingen,Hoofdlocatie
45dde2d3-3b5f-ec11-9114-0050569571ea,SVO,SVO vakopleiding food,MBO,Hoofdlocatie
8a88dde9-0911-e511-80d0-005056956c1a,SWOV,Stichting Wetenschappelijk Onderzoek Verkeersveiligheid,Onderzoeksinstellingen,Hoofdlocatie
e761b706-6bfa-e611-80e3-005056956c1a,TERAA,Ter AA,MBO,Hoofdlocatie
9c9c15f6-0911-e511-80d0-005056956c1a,TERENA,GÉANT Vereniging,Aan hoger onderwijs gelieerde instellingen,Hoofdlocatie
e7a7897b-0d11-e511-80d0-005056956c1a,THOMAS,Thomas More Hogeschool,HBO,Hoofdlocatie
15931efc-0911-e511-80d0-005056956c1a,TNO,TNO,Grote technologische instituten,Hoofdlocatie
236c6787-0b11-e511-80d0-005056956c1a,TRIMBOS,Trimbos Instituut,Onderzoeksinstellingen,Hoofdlocatie
4f82fa68-0911-e511-80d0-005056956c1a,TUDELFT,Technische Universiteit Delft,Universiteiten,Hoofdlocatie
1194daef-0911-e511-80d0-005056956c1a,TUE,Technische Universiteit Eindhoven,Universiteiten,Hoofdlocatie
b4c881ce-0a11-e511-80d0-005056956c1a,TUKAMPEN,Theologische Universiteit Utrecht,Overig hoger onderwijs,Hoofdlocatie
b0e56b42-0911-e511-80d0-005056956c1a,UMCG,Universitair Medisch Centrum Groningen,UMC,Hoofdlocatie
66931efc-0911-e511-80d0-005056956c1a,UMCN,Radboudumc,UMC,Hoofdlocatie
03011e02-0a11-e511-80d0-005056956c1a,UMCU,UMC Utrecht,UMC,Hoofdlocatie
21011e02-0a11-e511-80d0-005056956c1a,UNIMAAS,Maastricht University,Universiteiten,Hoofdlocatie
e1b22db5-b1d1-e611-80e3-005056956c1a,UNIVCURACAO,University of Curacao,Overig hoger onderwijs,Hoofdlocatie
dc53130e-0a11-e511-80d0-005056956c1a,UNL,Universiteiten van Nederland,Aan hoger onderwijs gelieerde instellingen,Hoofdlocatie
223bc01a-0a11-e511-80d0-005056956c1a,UTWENTE,University of Twente,Universiteiten,Hoofdlocatie
90ba7775-0911-e511-80d0-005056956c1a,UU,Universiteit Utrecht,Universiteiten,Hoofdlocatie
ec82b820-0a11-e511-80d0-005056956c1a,UVA,Universiteit van Amsterdam,Universiteiten,Hoofdlocatie
d6a91808-0a11-e511-80d0-005056956c1a,UVH,Universiteit voor Humanistiek,Overig hoger onderwijs,Hoofdlocatie
4f011e02-0a11-e511-80d0-005056956c1a,UVT,Tilburg University,Universiteiten,Hoofdlocatie
0feb43f0-7444-e811-80f2-005056956c1a,VANGOGH,Van Gogh Museum,Musea,Hoofdlocatie
46aa1808-0a11-e511-80d0-005056956c1a,VHL,Hogeschool Van Hall Larenstein,HBO,Hoofdlocatie
dbfedd52-c2a3-e911-90f2-0050569571ea,VISTA,VISTA College,MBO,Hoofdlocatie
d253130e-0a11-e511-80d0-005056956c1a,VU,Vrije Universiteit Amsterdam,Universiteiten,Hoofdlocatie
5043b714-0a11-e511-80d0-005056956c1a,WINDESHEIM,Christelijke Hogeschool Windesheim,HBO,Hoofdlocatie
2143b714-0a11-e511-80d0-005056956c1a,WUR,Wageningen University & Research,Universiteiten,Hoofdlocatie
080e2956-ab5f-eb11-9105-0050569571ea,YUVERTA,Yuverta,MBO,Hoofdlocatie
9519b9d7-0911-e511-80d0-005056956c1a,ZADKINE,ROC Zadkine,MBO,Hoofdlocatie
963ac01a-0a11-e511-80d0-005056956c1a,ZEBI,ZB Bibliotheek van Zeeland,Bibliotheken,Hoofdlocatie
4a9ea150-0d11-e511-80d0-005056956c1a,ZONMW,ZonMw,Onderzoeksinstellingen,Hoofdlocatie
ec7cd7b9-d76e-e811-80f7-005056956c1a,,Museon-Omniversum,Musea,Hoofdlocatie
467cd7b9-d76e-e811-80f7-005056956c1a,,Nederlands Instituut Publieke Veiligheid,Overig hoger onderwijs,Hoofdlocatie
